step,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
3_MIObjective_NoRMS,Zoo,4,0.023078571428571514,0.9804761904761904,6,16,163.4124329998158
3_MIObjective_NoRMS,Zoo,5,0.03345000000000002,0.97,6,16,166.46393345901743
3_MIObjective_NoRMS,Zoo,6,0.025424999999999906,0.9800000000000001,9,16,169.4199462090619
3_MIObjective_NoRMS,Zoo,7,0.026203571428571514,0.9804761904761904,11,16,168.88383716670796
3_MIObjective_NoRMS,Zoo,8,0.03282500000000003,0.97,5,16,170.52939083380625
3_MIObjective_NoRMS,Zoo,9,0.03470000000000002,0.97,8,16,169.97419583285227
3_MIObjective_NoRMS,Zoo,11,0.0323535714285713,0.9704761904761906,5,16,170.0633740001358
3_MIObjective_NoRMS,Zoo,12,0.01615000000000001,0.99,10,16,170.38280729111284
3_MIObjective_NoRMS,Zoo,10,0.03345000000000002,0.97,6,16,172.03948199981824
3_MIObjective_NoRMS,Zoo,13,0.03407500000000002,0.97,7,16,171.8212227919139
3_MIObjective_NoRMS,Zoo,14,0.033603571428571524,0.9704761904761904,7,16,171.50794279109687
3_MIObjective_NoRMS,Zoo,15,0.024328571428571404,0.9804761904761905,8,16,173.1517177503556
3_MIObjective_NoRMS,Zoo,16,0.03344999999999992,0.9700000000000001,6,16,172.70004850020632
3_MIObjective_NoRMS,Zoo,17,0.03344999999999992,0.9700000000000001,6,16,172.11872024973854
3_MIObjective_NoRMS,Zoo,18,0.03282500000000003,0.97,5,16,173.1087981252931
3_MIObjective_NoRMS,Zoo,19,0.0329785714285713,0.9704761904761906,6,16,172.04192416602746
3_MIObjective_NoRMS,Zoo,20,0.022453571428571403,0.9804761904761905,5,16,171.69286679197103
3_MIObjective_NoRMS,Zoo,21,0.022924999999999907,0.9800000000000001,5,16,171.32670429116115
3_MIObjective_NoRMS,Zoo,22,0.02417499999999991,0.9800000000000001,7,16,170.5369280828163
3_MIObjective_NoRMS,Zoo,23,0.025424999999999906,0.9800000000000001,9,16,171.5079184579663
3_MIObjective_NoRMS,Zoo,24,0.03282499999999992,0.9700000000000001,5,16,163.2223952920176
3_MIObjective_NoRMS,Zoo,25,0.025424999999999906,0.9800000000000001,9,16,160.83109879214317
3_MIObjective_NoRMS,Zoo,27,0.015678571428571396,0.9904761904761905,10,16,160.94900216627866
3_MIObjective_NoRMS,Zoo,26,0.02479999999999991,0.9800000000000001,8,16,161.39182083308697
3_MIObjective_NoRMS,Zoo,28,0.03407499999999992,0.9700000000000001,7,16,161.82224379107356
3_MIObjective_NoRMS,Zoo,29,0.022924999999999907,0.9800000000000001,5,16,149.8421930829063
4_MITransfer_RMS_NoUMR,Leukemia,0,0.01674436932431887,0.9857142857142858,929,3571,491.34459733311087
