sweep,value,config_tag,dataset,run_id,fitness,accuracy,n_selected_features,runtime_seconds
gamma,0.25,final,ColonCancer,8,0.12954384615384626,0.873076923076923,778,422.63195166690275
gamma,0.25,final,ColonCancer,9,0.14728307692307696,0.8551282051282051,772,422.455303540919
gamma,0.5,final,Zoo,7,0.022453571428571403,0.9804761904761905,5,176.11037887493148
umr_k,8.0,final,Zoo,7,0.022453571428571403,0.9804761904761905,5,176.11037887493148
gamma,0.5,final,Zoo,8,0.022924999999999907,0.9800000000000001,5,161.97694466705434
umr_k,8.0,final,Zoo,8,0.022924999999999907,0.9800000000000001,5,161.97694466705434
gamma,0.5,final,Zoo,9,0.022924999999999907,0.9800000000000001,5,161.25683937501162
umr_k,8.0,final,Zoo,9,0.022924999999999907,0.9800000000000001,5,161.25683937501162
gamma,0.5,final,Sonar,4,0.11651103368176541,0.8846689895470383,14,310.10976400016807
umr_k,8.0,final,Sonar,4,0.11651103368176541,0.8846689895470383,14,310.10976400016807
gamma,0.5,final,Sonar,0,0.11784436701509873,0.8846689895470383,22,356.0647815831471
umr_k,8.0,final,Sonar,0,0.11784436701509873,0.8846689895470383,22,356.0647815831471
gamma,0.5,final,Sonar,1,0.10824912891986067,0.8941927990708478,21,352.7931812501047
umr_k,8.0,final,Sonar,1,0.10824912891986067,0.8941927990708478,21,352.7931812501047
gamma,0.5,final,Sonar,2,0.1120150987224158,0.8895470383275261,16,338.1101148747839
umr_k,8.0,final,Sonar,2,0.1120150987224158,0.8895470383275261,16,338.1101148747839
gamma,0.5,final,Sonar,3,0.09860220673635317,0.9036004645760742,19,367.9274915000424
umr_k,8.0,final,Sonar,3,0.09860220673635317,0.9036004645760742,19,367.9274915000424
gamma,0.5,final,Sonar,5,0.10785249709639953,0.8944250871080139,20,369.30912783392705
umr_k,8.0,final,Sonar,5,0.10785249709639953,0.8944250871080139,20,369.30912783392705
gamma,0.5,final,Sonar,6,0.09793554006968651,0.9036004645760742,15,366.8066466660239
umr_k,8.0,final,Sonar,6,0.09793554006968651,0.9036004645760742,15,366.8066466660239
gamma,0.5,final,Sonar,7,0.10313821138211383,0.8991869918699187,20,376.3304646250326
umr_k,8.0,final,Sonar,7,0.10313821138211383,0.8991869918699187,20,376.3304646250326
gamma,0.5,final,Sonar,8,0.0981538908246226,0.9037166085946573,17,366.6403969579842
umr_k,8.0,final,Sonar,8,0.0981538908246226,0.9037166085946573,17,366.6403969579842
gamma,0.5,final,Sonar,9,0.1121416957026714,0.8890824622531939,14,365.6335842499975
umr_k,8.0,final,Sonar,9,0.1121416957026714,0.8890824622531939,14,365.6335842499975
gamma,0.5,final,ColonCancer,0,0.11570653846153839,0.885897435897436,549,459.50466062501073
umr_k,8.0,final,ColonCancer,0,0.11570653846153839,0.885897435897436,549,459.50466062501073
