algorithm,dataset,run_id,heldout_accuracy,train_cv_fitness,n_selected_features,n_total_features,runtime_seconds
RIME,Diabetes,17,0.6948051948051948,0.27137854858056776,3,8,352.27527899993584
RIME,Diabetes,18,0.7077922077922078,0.2762078168732507,3,8,349.6289479590487
RIME,Diabetes,19,0.7662337662337663,0.3149343262694922,3,8,351.66095612500794
RIME,Diabetes,21,0.5909090909090909,0.36528888444622154,2,8,349.91468804096803
RIME,Diabetes,20,0.6558441558441559,0.3549240303878448,4,8,353.21149533311836
RIME,Diabetes,22,0.6818181818181818,0.37170151939224316,2,8,345.0448086250108
RIME,Diabetes,23,0.6948051948051948,0.2565573770491804,4,8,352.86834366596304
RIME,Diabetes,24,0.7532467532467533,0.27820371851259507,2,8,346.9572752499953
RIME,Diabetes,25,0.6753246753246753,0.2902698920431828,4,8,350.15201270906255
RIME,Diabetes,26,0.8051948051948052,0.27616823270691715,3,8,344.39632758288644
RIME,Diabetes,27,0.6038961038961039,0.35717413034786083,2,8,344.27906404202804
RIME,Diabetes,28,0.6753246753246753,0.3475947620951619,2,8,342.04682445782237
RIME,Diabetes,29,0.7402597402597403,0.28387045181927234,4,8,350.92914254195057
RIME,GermanCredit,0,0.725,0.3334125,6,20,471.84634512499906
RIME,GermanCredit,1,0.67,0.31956249999999997,8,20,477.39778225007467
RIME,GermanCredit,2,0.64,0.3198000000000001,6,20,476.37377429101616
RIME,GermanCredit,3,0.675,0.29778750000000004,9,20,474.6293524589855
RIME,GermanCredit,4,0.75,0.2931,12,20,489.93724475009367
RIME,GermanCredit,5,0.725,0.28022500000000006,11,20,486.11678795912303
RIME,GermanCredit,6,0.735,0.3012374999999999,6,20,471.11478874995373
RIME,GermanCredit,7,0.71,0.32748750000000015,9,20,483.31079662498087
RIME,GermanCredit,8,0.7,0.26885000000000003,13,20,490.5996728329919
RIME,GermanCredit,9,0.695,0.26711250000000003,12,20,486.5915868328884
RIME,GermanCredit,10,0.645,0.3170874999999999,8,20,475.2376780421473
RIME,GermanCredit,11,0.745,0.2609250000000001,12,20,481.6364704158623
RIME,GermanCredit,12,0.695,0.28962499999999997,10,20,482.4833432501182
RIME,GermanCredit,13,0.7,0.2695875,12,20,488.99899816699326
RIME,GermanCredit,14,0.75,0.27601250000000005,10,20,481.879827124998
