group,compared_with,p_value,RG-SCSO_mean,other_mean,cohens_d,rank_biserial_r,p_value_holm,mark
Lymphography,RIME,0.0015706767966891149,0.7977777777777779,0.7555555555555556,0.7276947894730326,0.7333333333333333,0.00942406078013469,+
Lymphography,SCSO,0.07996513147908617,0.7977777777777779,0.7711111111111112,0.37384359850688653,0.3768472906403941,0.2398953944372585,=
M-of-n,AOA,1.7105279932400781e-06,0.996,0.8711666666666668,3.4819745690449975,1.0,1.0263167959440469e-05,+
M-of-n,COA,1.724599381815356e-06,0.996,0.7891666666666667,2.7282576639292513,1.0,1.0263167959440469e-05,+
M-of-n,GWO,1.724599381815356e-06,0.996,0.6984999999999999,1.8923033467506407,1.0,1.0263167959440469e-05,+
M-of-n,PSO,1.7256857880058038e-06,0.996,0.7263333333333334,2.5375980028611895,1.0,1.0263167959440469e-05,+
M-of-n,RIME,1.7300371292901247e-06,0.996,0.7479999999999999,2.2291833997714052,1.0,1.0263167959440469e-05,+
M-of-n,SCSO,1.7289484360195754e-06,0.996,0.7733333333333333,1.8924248541468216,1.0,1.0263167959440469e-05,+
Parkinsons,AOA,0.8067518665850684,0.9051282051282052,0.9025641025641027,0.04674805405200141,0.06060606060606061,0.8067518665850684,=
Parkinsons,COA,0.0961569541716235,0.9051282051282052,0.8888888888888891,0.2935743338918546,0.38666666666666666,0.2884708625148705,=
Parkinsons,GWO,0.02025868070433343,0.9051282051282052,0.8760683760683763,0.480302913870395,0.54,0.10129340352166714,=
Parkinsons,PSO,0.011801859385941684,0.9051282051282052,0.8717948717948719,0.45541831323943843,0.5866666666666667,0.0708111563156501,=
Parkinsons,RIME,0.1085000039215558,0.9051282051282052,0.8811965811965814,0.31545174578938157,0.3804347826086957,0.2884708625148705,=
Parkinsons,SCSO,0.06694014907614364,0.9051282051282052,0.8811965811965813,0.3453062655582341,0.41846153846153844,0.26776059630457455,=
Sonar,AOA,0.5658399323936011,0.807936507936508,0.8023809523809523,0.09488602659751595,0.13333333333333333,1.0,=
Sonar,COA,0.4632068936493846,0.807936507936508,0.7936507936507934,0.18617560146719886,0.17786561264822134,1.0,=
Sonar,GWO,0.4948162291834213,0.807936507936508,0.8023809523809523,0.07772320209692399,0.14482758620689656,1.0,=
Sonar,PSO,0.23328104238179326,0.807936507936508,0.7944444444444444,0.1989088869674734,0.2619047619047619,1.0,=
Sonar,RIME,0.10903935313773824,0.807936507936508,0.7896825396825397,0.31356153421093813,0.35185185185185186,0.6542361188264294,=
Sonar,SCSO,0.3788008990868196,0.807936507936508,0.7976190476190474,0.1762169065382436,0.2,1.0,=
SpectEW,AOA,0.1005871067610169,0.8203703703703703,0.8098765432098763,0.24968923629467202,0.35978835978835977,0.17009433565446944,=
SpectEW,COA,0.012865914026874833,0.8203703703703703,0.8012345679012345,0.472045778244669,0.5555555555555556,0.077195484161249,=
SpectEW,GWO,0.018431616833263578,0.8203703703703703,0.7932098765432098,0.47587829161979983,0.5270655270655271,0.077195484161249,=
SpectEW,PSO,0.08504716782723472,0.8203703703703703,0.8074074074074072,0.3034688199669912,0.4,0.17009433565446944,=
SpectEW,RIME,0.013968238447468358,0.8203703703703703,0.795061728395062,0.5165938614763101,0.57,0.077195484161249,=
SpectEW,SCSO,0.022316842012935833,0.8203703703703703,0.8012345679012345,0.46539535277281097,0.52,0.077195484161249,=
TicTacToe,AOA,0.09885488166660601,0.8211805555555556,0.7855902777777779,0.1625520453307805,-0.43157894736842106,0.09885488166660601,=
TicTacToe,COA,2.7569661709863732e-05,0.8211805555555556,0.6923611111111111,0.6322497305778771,0.9232804232804233,5.5139323419727464e-05,+
TicTacToe,GWO,1.7148474010332507e-06,0.8211805555555556,0.6241319444444445,1.0843893105053313,1.0,1.0289084406199504e-05,+
TicTacToe,PSO,2.552744688990994e-06,0.8211805555555556,0.6552083333333333,0.8795692892896907,1.0,1.0289084406199504e-05,+
TicTacToe,RIME,1.7202594665136763e-06,0.8211805555555556,0.6538194444444444,0.8690545882478504,1.0,1.0289084406199504e-05,+
TicTacToe,SCSO,2.5561870245802224e-06,0.8211805555555556,0.6461805555555556,0.901387681206862,1.0,1.0289084406199504e-05,+
Vote,AOA,6.475676404161043e-05,0.9560283687943264,0.921985815602837,1.083828189476448,0.8756613756613757,0.0001942702921248313,+
