algorithm,dataset,metric,mean,std,best,worst
AOA,M-of-n,heldout_accuracy,0.8711666666666668,0.028684587421741944,0.91,0.765
AOA,M-of-n,n_selected_features,12.8,0.4,13.0,12.0
AOA,M-of-n,train_cv_fitness,0.14089740384615382,0.01817520523277053,0.1077624999999998,0.2121807692307693
COA,M-of-n,heldout_accuracy,0.7891666666666667,0.07346295362667876,0.985,0.655
COA,M-of-n,n_selected_features,7.066666666666666,1.730767331432956,11.0,4.0
COA,M-of-n,train_cv_fitness,0.22022464743589737,0.07572735761134518,0.0152846153846153,0.3904144230769231
GWO,M-of-n,heldout_accuracy,0.6985,0.15367796415448334,0.84,0.0
GWO,M-of-n,n_selected_features,6.166666666666667,1.8811934746029948,10.0,0.0
GWO,M-of-n,train_cv_fitness,0.31032692307692306,0.149512341713048,0.1752230769230768,1.0
PSO,M-of-n,heldout_accuracy,0.7263333333333333,0.10261524686365514,0.865,0.495
PSO,M-of-n,n_selected_features,6.1,1.6802777548171413,9.0,2.0
PSO,M-of-n,train_cv_fitness,0.2748798076923077,0.08169479452686076,0.1585336538461538,0.4451653846153847
RG-SCSO,M-of-n,heldout_accuracy,0.996,0.014685593847940454,1.0,0.92
RG-SCSO,M-of-n,n_selected_features,6.3,0.7810249675906654,10.0,6.0
RG-SCSO,M-of-n,train_cv_fitness,0.011858653846153807,0.016277950876149333,0.0046153846153846,0.0856548076923076
RIME,M-of-n,heldout_accuracy,0.7479999999999999,0.10605501716876324,0.955,0.495
RIME,M-of-n,n_selected_features,6.566666666666666,2.2163533613172386,11.0,1.0
RIME,M-of-n,train_cv_fitness,0.25180878205128204,0.08918109134154041,0.0288971153846154,0.4129903846153846
SCSO,M-of-n,heldout_accuracy,0.7733333333333333,0.11763880690014196,0.99,0.495
SCSO,M-of-n,n_selected_features,7.233333333333333,2.2313423961572747,11.0,2.0
SCSO,M-of-n,train_cv_fitness,0.22621035256410255,0.09490001660780906,0.0227096153846154,0.4451653846153847
AOA,Parkinsons,heldout_accuracy,0.9025641025641026,0.04509711438725787,1.0,0.8205128205128205
AOA,Parkinsons,n_selected_features,21.7,1.004987562112089,22.0,18.0
AOA,Parkinsons,train_cv_fitness,0.1148914589442814,0.017794942879144234,0.0864455645161289,0.1478995601173019
COA,Parkinsons,heldout_accuracy,0.888888888888889,0.04457574294155661,0.9743589743589745,0.7948717948717948
COA,Parkinsons,n_selected_features,8.833333333333334,3.6522443632496566,17.0,2.0
COA,Parkinsons,train_cv_fitness,0.121291562805474,0.033942388428768004,0.0657445014662756,0.2107960043988268
GWO,Parkinsons,heldout_accuracy,0.8760683760683762,0.0508888056294161,0.9743589743589745,0.7692307692307693
GWO,Parkinsons,n_selected_features,10.833333333333334,2.1768989156340925,16.0,7.0
