algorithm,wrapper,prior,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
RG-SCSO-MI,KNN,mi,ColonCancer,6,0.11465230769230762,0.8871794871794872,592,2000,386.6442538329866
RG-SCSO-MI,KNN,mi,ColonCancer,7,0.09545384615384615,0.9064102564102564,560,2000,385.6869029169902
RG-SCSO-MI,KNN,mi,ColonCancer,8,0.12830384615384627,0.873076923076923,530,2000,385.77264591585845
RG-SCSO-MI,KNN,mi,ColonCancer,9,0.1158365384615384,0.885897435897436,575,2000,387.99873666698113
RG-SCSO-MI,KNN,mi,ColonCancer,10,0.1157715384615384,0.885897435897436,562,2000,388.4051510419231
RG-SCSO-MI,KNN,mi,ColonCancer,11,0.11325807692307686,0.8884615384615385,567,2000,391.3949653340969
RG-SCSO-MI,KNN,mi,ColonCancer,12,0.14622807692307696,0.8551282051282051,561,2000,395.6398867079988
RG-SCSO-MI,KNN,mi,ColonCancer,13,0.13088730769230777,0.8705128205128204,539,2000,404.9255883330479
RG-SCSO-MI,KNN,mi,ColonCancer,14,0.09546384615384616,0.9064102564102564,562,2000,405.06196441687644
RG-SCSO-MI,KNN,mi,ColonCancer,15,0.11434730769230762,0.8871794871794872,531,2000,402.35111783305183
RG-SCSO-MI,KNN,mi,ColonCancer,16,0.11319807692307686,0.8884615384615385,555,2000,409.282137791859
RG-SCSO-MI,KNN,mi,ColonCancer,17,0.09809730769230769,0.9038461538461539,581,2000,410.110081957886
RG-SCSO-MI,KNN,mi,ColonCancer,18,0.1296380769230768,0.8717948717948719,543,2000,412.4734293750953
RG-SCSO-MI,KNN,mi,ColonCancer,19,0.14764730769230774,0.8538461538461538,591,2000,406.4704572078772
RG-SCSO-MI,KNN,mi,ColonCancer,20,0.13103730769230776,0.8705128205128204,569,2000,414.3176585000474
RG-SCSO-MI,KNN,mi,ColonCancer,21,0.11314307692307686,0.8884615384615385,544,2000,402.28916225000285
RG-SCSO-MI,KNN,mi,ColonCancer,22,0.11454230769230762,0.8871794871794872,570,2000,403.580528707942
RG-SCSO-MI,KNN,mi,ColonCancer,23,0.1627930769230769,0.8384615384615385,574,2000,402.968608958181
RG-SCSO-MI,KNN,mi,ColonCancer,24,0.09929653846153845,0.9025641025641026,567,2000,400.2282148748636
RG-SCSO-MI,KNN,mi,ColonCancer,25,0.09804230769230769,0.9038461538461539,570,2000,401.6376457910519
RG-SCSO-MI,KNN,mi,ColonCancer,26,0.09796730769230769,0.9038461538461539,555,2000,402.5969936249312
RG-SCSO-MI,KNN,mi,ColonCancer,27,0.11471230769230761,0.8871794871794872,604,2000,409.3924499589484
RG-SCSO-MI,KNN,mi,ColonCancer,28,0.16387230769230765,0.8371794871794872,536,2000,415.0940881250426
RG-SCSO-MI,KNN,mi,ColonCancer,29,0.1298080769230768,0.8717948717948719,577,2000,439.4313532919623
RG-SCSO-MI,KNN,mi,Leukemia,0,0.01673316798015757,0.9857142857142858,925,3571,456.6704841668252
RG-SCSO-MI,KNN,mi,Leukemia,1,0.016831179741568936,0.9857142857142858,960,3571,456.03937358385883
RG-SCSO-MI,KNN,mi,Leukemia,2,0.016772372684722116,0.9857142857142858,939,3571,467.12619362492114
RG-SCSO-MI,KNN,mi,Leukemia,3,0.0158071128535424,0.9866666666666667,931,3571,468.48291141702794
RG-SCSO-MI,KNN,mi,Leukemia,4,0.016679961595391396,0.9857142857142858,906,3571,469.7873539580032
RG-SCSO-MI,KNN,mi,Leukemia,5,0.015790310837300453,0.9866666666666667,925,3571,470.6229397908319
RG-SCSO-MI,KNN,mi,Leukemia,6,0.015826715205824675,0.9866666666666667,938,3571,471.9862534168642
RG-SCSO-MI,KNN,mi,Leukemia,7,0.016833980077609265,0.9857142857142858,961,3571,471.6801679590717
RG-SCSO-MI,KNN,mi,Leukemia,8,0.015930327639316694,0.9866666666666667,975,3571,471.6700359170791
RG-SCSO-MI,KNN,mi,Leukemia,9,0.015706300756090707,0.9866666666666667,895,3571,470.92617908283137
RG-SCSO-MI,KNN,mi,Leukemia,10,0.015891122934752144,0.9866666666666667,961,3571,470.3217534578871
RG-SCSO-MI,KNN,mi,Leukemia,11,0.016766772012641467,0.9857142857142858,937,3571,472.32304104208015
RG-SCSO-MI,KNN,mi,Leukemia,12,0.01679197503700439,0.9857142857142858,946,3571,473.2082179998979
RG-SCSO-MI,KNN,mi,Leukemia,13,0.015809913189582726,0.9866666666666667,932,3571,472.45689995912835
RG-SCSO-MI,KNN,mi,Leukemia,14,0.016755570668480168,0.9857142857142858,933,3571,472.72801454085857
RG-SCSO-MI,KNN,mi,Leukemia,15,0.016763971676601142,0.9857142857142858,936,3571,473.7136367079802
RG-SCSO-MI,KNN,mi,Leukemia,16,0.0158183141977037,0.9866666666666667,935,3571,472.6593569999095
RG-SCSO-MI,KNN,mi,Leukemia,17,0.01677517302076244,0.9857142857142858,940,3571,470.91263400018215
RG-SCSO-MI,KNN,mi,Leukemia,18,0.016724766972036596,0.9857142857142858,922,3571,469.74713354208507
RG-SCSO-MI,KNN,mi,Leukemia,19,0.01677517302076244,0.9857142857142858,940,3571,471.4840204580687
RG-SCSO-MI,KNN,mi,Leukemia,20,0.016783574028883416,0.9857142857142858,943,3571,471.46502474998124
RG-SCSO-MI,KNN,mi,Leukemia,21,0.01684798175781089,0.9857142857142858,966,3571,470.85012129112147
RG-SCSO-MI,KNN,mi,Leukemia,22,0.016817178061367313,0.9857142857142858,955,3571,470.5749687498901
RG-SCSO-MI,SVM,mi,Zoo,0,0.022924999999999907,0.9800000000000001,5,16,80.69451391603798
RG-SCSO-MI,KNN,mi,Leukemia,23,0.01581271352562305,0.9866666666666667,933,3571,462.17697337502614
RG-SCSO-MI,KNN,mi,Leukemia,24,0.016763971676601142,0.9857142857142858,936,3571,459.20117441704497
RG-SCSO-MI,KNN,mi,Leukemia,25,0.016856382765931863,0.9857142857142858,969,3571,457.2382350410335
RG-SCSO-MI,SVM,mi,Zoo,1,0.01490000000000001,0.99,8,16,82.77972466615029
RG-SCSO-MI,SVM,mi,Zoo,2,0.016303571428571396,0.9904761904761905,11,16,90.96754550002515
RG-SCSO-MI,SVM,mi,Zoo,3,0.022453571428571403,0.9804761904761905,5,16,93.88633845793083
RG-SCSO-MI,KNN,mi,Leukemia,26,0.016761171340560817,0.9857142857142858,935,3571,438.675629750127
