beta,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
0.001,WDBC,26,0.02119080888060862,0.9789318428815401,10,30,368.6773398327641
0.001,WDBC,27,0.021206179164725836,0.9789163173420278,10,30,353.9888142081909
0.001,ColonCancer,2,0.08150876923076927,0.9179487179487179,556,2000,123.07242708280683
0.001,ColonCancer,3,0.12593934615384625,0.873076923076923,571,2000,122.78082141606137
0.001,WDBC,28,0.01616231951560323,0.9841794752367644,15,30,318.1936018751003
0.001,WDBC,29,0.022958391554106658,0.9771464058376027,10,30,370.8194891670719
0.001,ColonCancer,4,0.09801126923076922,0.9012820512820513,561,2000,129.39715324994177
0.001,ColonCancer,5,0.14370207692307696,0.8551282051282051,558,2000,129.25979045778513
0.001,ColonCancer,6,0.11198830769230762,0.8871794871794872,592,2000,130.1183853750117
0.001,ColonCancer,8,0.12591884615384624,0.873076923076923,530,2000,128.71944941673428
0.001,ColonCancer,7,0.09293384615384616,0.9064102564102564,560,2000,129.3654063330032
0.001,ColonCancer,9,0.11324903846153839,0.885897435897436,575,2000,129.55633854167536
0.001,ColonCancer,10,0.1132425384615384,0.885897435897436,562,2000,128.7623161249794
0.001,ColonCancer,11,0.11070657692307687,0.8884615384615385,567,2000,131.54414599994197
0.001,ColonCancer,12,0.14370357692307695,0.8551282051282051,561,2000,131.71979966619983
0.001,ColonCancer,13,0.12846180769230778,0.8705128205128204,539,2000,132.1214988748543
0.001,ColonCancer,15,0.11195780769230762,0.8871794871794872,531,2000,132.13321016682312
0.001,ColonCancer,14,0.09293484615384616,0.9064102564102564,562,2000,133.66598891606554
0.001,ColonCancer,16,0.11070057692307686,0.8884615384615385,555,2000,132.71113341720775
0.001,ColonCancer,17,0.09548280769230769,0.9038461538461539,581,2000,132.71483187470585
0.001,ColonCancer,18,0.1271945769230768,0.8717948717948719,543,2000,131.4668885837309
0.001,ColonCancer,19,0.14498780769230774,0.8538461538461538,591,2000,131.61010016594082
0.001,ColonCancer,20,0.12847680769230777,0.8705128205128204,569,2000,130.4944979166612
0.001,ColonCancer,21,0.11069507692307685,0.8884615384615385,544,2000,128.3674437920563
0.001,ColonCancer,22,0.11197730769230761,0.8871794871794872,570,2000,129.24135766737163
0.001,ColonCancer,23,0.1602100769230769,0.8384615384615385,574,2000,130.58320508291945
0.001,ColonCancer,24,0.09674503846153845,0.9025641025641026,567,2000,130.25989045901224
0.001,ColonCancer,25,0.09547730769230768,0.9038461538461539,570,2000,129.85481762513518
0.001,ColonCancer,26,0.09546980769230769,0.9038461538461539,555,2000,130.02742925006896
0.001,ColonCancer,27,0.11199430769230762,0.8871794871794872,604,2000,134.94768066564575
0.001,ColonCancer,28,0.16146030769230765,0.8371794871794872,536,2000,136.8765418343246
0.001,ColonCancer,29,0.1272115769230768,0.8717948717948719,577,2000,137.3031962919049
0.001,Leukemia,0,0.01440188822658714,0.9857142857142858,925,3571,163.10403987485915
0.001,Leukemia,1,0.014411689402728276,0.9857142857142858,960,3571,163.8164044590667
0.001,Leukemia,2,0.014405808697043596,0.9857142857142858,939,3571,163.93985266704112
0.001,Leukemia,3,0.013460711285354218,0.9866666666666667,931,3571,163.36619604192674
0.001,Leukemia,4,0.014396567588110523,0.9857142857142858,906,3571,164.9641021671705
0.001,Leukemia,5,0.013459031083730023,0.9866666666666667,925,3571,168.14384520798922
0.001,Leukemia,6,0.013462671520582446,0.9866666666666667,938,3571,168.79456766694784
0.001,Leukemia,7,0.014411969436332309,0.9857142857142858,961,3571,168.83330437494442
0.001,Leukemia,8,0.013473032763931648,0.9866666666666667,975,3571,170.05787312518805
0.001,Leukemia,9,0.013450630075609048,0.9866666666666667,895,3571,170.58938166685402
0.001,Leukemia,10,0.013469112293475192,0.9866666666666667,961,3571,170.29345612507313
0.001,Leukemia,11,0.01440524862983553,0.9857142857142858,937,3571,168.88535487512127
0.001,Leukemia,12,0.014407768932271822,0.9857142857142858,946,3571,170.9122852915898
0.001,Leukemia,13,0.01346099131895825,0.9866666666666667,932,3571,169.75169616704807
0.001,Leukemia,14,0.0144041284954194,0.9857142857142858,933,3571,172.18228320777416
0.001,Leukemia,15,0.014404968596231497,0.9857142857142858,936,3571,172.43257566681132
0.001,Leukemia,16,0.013461831419770347,0.9866666666666667,935,3571,170.06933533307165
0.001,Leukemia,17,0.014406088730647627,0.9857142857142858,940,3571,170.37358370795846
0.001,Leukemia,18,0.014401048125775043,0.9857142857142858,922,3571,172.34869058290496
0.001,Leukemia,19,0.014406088730647627,0.9857142857142858,940,3571,171.3971001249738
0.001,Leukemia,20,0.014406928831459725,0.9857142857142858,943,3571,172.65996341593564
0.001,Leukemia,21,0.014413369604352471,0.9857142857142858,966,3571,171.28731541708112
0.001,Leukemia,22,0.014410289234708114,0.9857142857142858,955,3571,169.58900912478566
0.001,Leukemia,23,0.013461271352562284,0.9866666666666667,933,3571,170.5026810830459
0.001,Leukemia,24,0.014404968596231497,0.9857142857142858,936,3571,166.38324041711167
0.001,Leukemia,25,0.01441420970516457,0.9857142857142858,969,3571,167.20653200009838
0.001,Leukemia,26,0.014404688562627464,0.9857142857142858,935,3571,167.34831175021827
0.001,Leukemia,27,0.014406088730647627,0.9857142857142858,940,3571,166.7243380001746
0.001,Leukemia,28,0.014408328999479888,0.9857142857142858,948,3571,163.09687379188836
0.001,Leukemia,29,0.014402728327399238,0.9857142857142858,928,3571,152.9133026250638
0.005,Zoo,0,0.022612499999999907,0.9800000000000001,9,16,180.5514432922937
0.005,Zoo,1,0.022612499999999907,0.9800000000000001,9,16,178.77781712496653
0.005,Zoo,2,0.02136249999999991,0.9800000000000001,5,16,176.51539024990052
0.005,Zoo,3,0.020891071428571405,0.9804761904761905,5,16,176.21732183312997
0.005,Zoo,4,0.020891071428571516,0.9804761904761904,5,16,176.33652204228565
