algorithm,dataset,metric,mean,std,best,worst
AOA,Diabetes,fitness,0.277416106442577,0.02157009962099052,0.2459264705882353,0.347953781512605
AOA,Diabetes,n_selected_features,7.4,1.2806248474865698,8.0,2.0
COA,Diabetes,accuracy,0.6989607560195795,0.04948552538472604,0.7616840675664205,0.5768695356930651
COA,Diabetes,fitness,0.30327885154061623,0.047684903749371926,0.2396827731092437,0.4201491596638655
COA,Diabetes,n_selected_features,4.2,1.6,7.0,1.0
ECL-SCSO,Diabetes,accuracy,0.7097623291740939,0.04135599206680704,0.757796451914099,0.5936932348697054
ECL-SCSO,Diabetes,fitness,0.29296029411764707,0.03997526659657148,0.247281512605042,0.4047436974789917
ECL-SCSO,Diabetes,n_selected_features,4.5,1.3354150416006754,7.0,1.0
GA,Diabetes,accuracy,0.6441776306482189,0.022003141604383793,0.6731941261353027,0.5793905440964264
GA,Diabetes,fitness,0.3564724789915966,0.020828425472447506,0.3297878151260502,0.4176533613445378
GA,Diabetes,n_selected_features,3.3666666666666667,1.168569876197207,6.0,1.0
GWO,Diabetes,accuracy,0.6562473474238181,0.12681422207226548,0.7513114336643748,0.0
GWO,Diabetes,fitness,0.34489845938375346,0.1263676232570666,0.2524516806722689,1.0
GWO,Diabetes,n_selected_features,3.4,1.3316656236958786,6.0,0.0
HHO,Diabetes,accuracy,0.6565642418583596,0.13323099040129324,0.7565232153467447,0.0
HHO,Diabetes,fitness,0.34500140056022405,0.13199661863126988,0.2497920168067227,1.0
HHO,Diabetes,n_selected_features,3.7333333333333334,1.8961950204437188,7.0,0.0
OOA,Diabetes,accuracy,0.6934083128200775,0.1349914571074494,0.7616840675664205,0.0
OOA,Diabetes,fitness,0.3096507703081232,0.1339601712505911,0.2396827731092437,1.0
OOA,Diabetes,n_selected_features,4.633333333333334,2.008039397577204,8.0,0.0
PSO,Diabetes,accuracy,0.6737328466740231,0.04563857765224804,0.7513708513708514,0.5625328919446567
PSO,Diabetes,fitness,0.3278378151260504,0.04432575860971812,0.2524432773109243,0.4343424369747898
