group,compared_with,p_value,ECL-SCSO_mean,other_mean,mark
Parkinsons,GA,0.3874834075212411,0.8823931623931625,0.877948717948718,=
Parkinsons,GWO,0.45345734910308066,0.8823931623931625,0.8844444444444446,=
Parkinsons,HHO,0.43624542755909856,0.8823931623931625,0.7654700854700855,=
Parkinsons,OOA,0.23184645299970896,0.8823931623931625,0.741880341880342,=
Parkinsons,PSO,0.577313260820068,0.8823931623931625,0.8917948717948719,=
Parkinsons,SCSO,0.10476764250663088,0.8823931623931625,0.8984615384615385,=
Parkinsons,SSA,0.30013993784314685,0.8823931623931625,0.7400000000000001,=
Parkinsons,WOA,0.021431991793456166,0.8823931623931625,0.7504273504273506,+
Sonar,AOA,0.2665751848379295,0.8120325203252032,0.8069066976384052,=
Sonar,COA,0.06604277243784361,0.8120325203252032,0.8200309717382889,=
Sonar,GA,0.0016488594954190982,0.8120325203252032,0.7938250096786682,+
Sonar,GWO,0.0570833563859457,0.8120325203252032,0.8019434765776228,=
Sonar,HHO,0.0006665531545877457,0.8120325203252032,0.5863221060782036,+
Sonar,OOA,0.5857016572266018,0.8120325203252032,0.6261749903213318,=
Sonar,PSO,0.09568002562920959,0.8120325203252032,0.8198838559814169,=
Sonar,SCSO,0.8936220165698388,0.8120325203252032,0.8121641502129306,=
Sonar,SSA,0.0058458773140603396,0.8120325203252032,0.6096167247386759,+
Sonar,WOA,2.7623027563095093e-06,0.8120325203252032,0.5304761904761904,+
SpectEW,AOA,0.09569757283319621,0.7875541579315166,0.7980969019333801,=
SpectEW,COA,0.0050126127898693085,0.7875541579315166,0.8066061029583043,-
SpectEW,GA,0.7000329215079546,0.7875541579315166,0.7846284649429304,=
SpectEW,GWO,0.17457350073732947,0.7875541579315166,0.7953552294432797,=
SpectEW,HHO,0.0034915470036287677,0.7875541579315166,0.5465478686233404,+
SpectEW,OOA,0.5291051845997572,0.7875541579315166,0.6617423713021197,=
SpectEW,PSO,0.11907656863331795,0.7875541579315166,0.7986023759608666,=
SpectEW,SCSO,0.18396909348666668,0.7875541579315166,0.7997297926857674,=
SpectEW,SSA,0.16501539274317845,0.7875541579315166,0.5859026321919404,=
SpectEW,WOA,0.012047622352838516,0.7875541579315166,0.6639832285115304,+
TicTacToe,AOA,0.00018860027194023132,0.7163899796393252,0.7732106239092497,-
TicTacToe,COA,0.21293285302817822,0.7163899796393252,0.6963559845840606,=
TicTacToe,GA,1.4193356037139893e-06,0.7163899796393252,0.6125987129144851,+
TicTacToe,GWO,0.049710121005773544,0.7163899796393252,0.6503503126817916,+
TicTacToe,HHO,0.0050126127898693085,0.7163899796393252,0.7366433973240255,-
TicTacToe,OOA,0.019660815596580505,0.7163899796393252,0.7285643906340896,-
