config,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
bPSO-TVT,Leukemia,6,0.016806832819938368,0.9866666666666667,1288,3571,512.4328168749344
bPSO-TVT,Leukemia,7,0.01773568828259386,0.9857142857142858,1283,3571,510.0225047499407
bPSO-TVT,Leukemia,8,0.03097209265111806,0.9723809523809525,1296,3571,512.4349602079019
bPSO-TVT,Leukemia,9,0.017078465415849876,0.9866666666666667,1385,3571,508.68827670789324
bPSO-TVT,Leukemia,10,0.01694684962195461,0.9866666666666667,1338,3571,505.57231099996716
bPSO-TVT,Leukemia,11,0.017872904748569778,0.9857142857142858,1332,3571,498.73948745895177
bPSO-TVT,Leukemia,12,0.017858903068368154,0.9857142857142858,1327,3571,499.58795170788653
bPSO-TVT,Leukemia,13,0.016764827779333497,0.9866666666666667,1273,3571,496.18607474979945
bPSO-TVT,Leukemia,14,0.01801852222266667,0.9857142857142858,1384,3571,506.4508022919763
bPSO-TVT,Leukemia,15,0.01795971516581985,0.9857142857142858,1363,3571,505.64166937512346
bPSO-TVT,Leukemia,16,0.01686563987678519,0.9866666666666667,1309,3571,505.5822428748943
bPSO-TVT,Leukemia,17,0.01779169500340036,0.9857142857142858,1303,3571,504.7920955410227
bPSO-TVT,Leukemia,18,0.017867304076489128,0.9857142857142858,1330,3571,506.9803669170942
bPSO-TVT,Leukemia,19,0.01778889466736003,0.9857142857142858,1302,3571,504.4445563328918
bPSO-TVT,Leukemia,20,0.017830899707964906,0.9857142857142858,1317,3571,507.52190941688605
bPSO-TVT,Leukemia,21,0.01785050206024718,0.9857142857142858,1324,3571,504.6324436250143
bPSO-TVT,Leukemia,22,0.017674080889706713,0.9857142857142858,1261,3571,502.648811833933
bPSO-TVT,Leukemia,23,0.017047661719406304,0.9866666666666667,1374,3571,502.1690430829767
bPSO-TVT,Leukemia,24,0.017766491979037433,0.9857142857142858,1294,3571,502.9666586248204
bPSO-TVT,Leukemia,25,0.017870104412529453,0.9857142857142858,1331,3571,496.8489272079896
bPSO-TVT,Leukemia,26,0.017674080889706713,0.9857142857142858,1261,3571,493.17888691602275
bPSO-TVT,Leukemia,27,0.01786170340440848,0.9857142857142858,1328,3571,485.2626068328973
bPSO-TVT,Lymphography,0,0.11095478927203056,0.8924137931034484,8,18,154.51720633311197
bPSO-TVT,Lymphography,2,0.12438237547892705,0.8788505747126438,8,18,156.0018009999767
bPSO-TVT,Lymphography,1,0.13232107279693495,0.8719540229885057,10,18,164.67506712512113
bPSO-TVT,Leukemia,28,0.01790370844501335,0.9857142857142858,1343,3571,493.4558631670661
bPSO-TVT,Leukemia,29,0.017738488618634186,0.9857142857142858,1284,3571,490.33246962493286
bPSO-TVT,Lymphography,3,0.11428812260536389,0.8924137931034484,14,18,168.89295508386567
bPSO-TVT,Lymphography,4,0.12000459770114934,0.8855172413793104,12,18,171.73029875010252
bPSO-TVT,Lymphography,5,0.1254934865900384,0.8788505747126436,10,18,185.2631614159327
bPSO-TVT,Lymphography,6,0.1120927203065135,0.8912643678160919,8,18,185.49084995803423
bPSO-TVT,Lymphography,7,0.12562068965517229,0.87816091954023,9,18,186.97161837504245
bPSO-TVT,Lymphography,8,0.11811034482758616,0.8857471264367817,9,18,188.26224295818247
bPSO-TVT,Lymphography,9,0.13244827586206898,0.871264367816092,9,18,190.04673824994825
bPSO-TVT,Lymphography,10,0.15313180076628347,0.8514942528735633,11,18,187.3509090419393
bPSO-TVT,Lymphography,11,0.1267318007662834,0.87816091954023,11,18,188.31867683306336
bPSO-TVT,Lymphography,12,0.132776245210728,0.8714942528735632,10,18,190.62241316610016
bPSO-TVT,Lymphography,13,0.12997164750957838,0.8726436781609197,7,18,187.31349020800553
bPSO-TVT,Lymphography,14,0.12448275862068957,0.8793103448275863,9,18,187.97415212495252
bPSO-TVT,Lymphography,15,0.13242145593869736,0.8724137931034482,11,18,187.72163941687904
