algorithm,dataset,run_id,accuracy,n_selected_features,target_k
ConcreteAE,Sonar,13,0.8464576074332172,13,19
ConcreteAE,Sonar,14,0.7743321718931474,17,19
ConcreteAE,Sonar,15,0.8174216027874565,18,19
ConcreteAE,Sonar,16,0.8176538908246226,17,19
ConcreteAE,Sonar,17,0.7745644599303135,15,19
ConcreteAE,Sonar,18,0.7981416957026713,15,19
ConcreteAE,Sonar,19,0.7695702671312427,16,19
ConcreteAE,Sonar,20,0.778513356562137,18,19
ConcreteAE,Sonar,21,0.7689895470383277,15,19
ConcreteAE,Sonar,22,0.7743321718931474,16,19
ConcreteAE,Sonar,23,0.7159117305458769,15,19
ConcreteAE,Sonar,24,0.7552845528455284,18,19
ConcreteAE,Sonar,25,0.7547038327526133,15,19
ConcreteAE,Sonar,26,0.778861788617886,13,19
ConcreteAE,Sonar,27,0.8032520325203253,17,19
ConcreteAE,Sonar,28,0.8031358885017422,15,19
ConcreteAE,Sonar,29,0.807897793263647,16,19
ConcreteAE,SpectEW,0,0.8165618448637317,7,9
ConcreteAE,SpectEW,1,0.7868623340321453,8,9
ConcreteAE,SpectEW,2,0.790146750524109,9,9
ConcreteAE,SpectEW,3,0.7935709294199861,9,9
ConcreteAE,SpectEW,4,0.7638714185883997,8,9
ConcreteAE,SpectEW,5,0.8125786163522013,9,9
ConcreteAE,SpectEW,6,0.7677847658979735,8,9
ConcreteAE,SpectEW,7,0.786722571628232,9,9
ConcreteAE,SpectEW,8,0.7451432564640112,7,9
ConcreteAE,SpectEW,9,0.7451432564640112,7,9
ConcreteAE,SpectEW,10,0.7902166317260656,8,9
ConcreteAE,SpectEW,11,0.7898672257162823,8,9
ConcreteAE,SpectEW,12,0.7749825296995109,8,9
ConcreteAE,SpectEW,13,0.7750524109014675,9,9
ConcreteAE,SpectEW,14,0.7341719077568134,8,9
ConcreteAE,SpectEW,15,0.8244584206848359,8,9
ConcreteAE,SpectEW,16,0.7563242487770789,8,9
ConcreteAE,SpectEW,17,0.7860237596086652,9,9
ConcreteAE,SpectEW,18,0.7829489867225716,8,9
ConcreteAE,SpectEW,19,0.7940600978336827,8,9
ConcreteAE,SpectEW,20,0.7830188679245284,8,9
ConcreteAE,SpectEW,21,0.7720475192173305,7,9
ConcreteAE,SpectEW,22,0.7755415793151642,7,9
ConcreteAE,SpectEW,23,0.7902865129280224,7,9
ConcreteAE,SpectEW,24,0.7636617749825296,9,9
ConcreteAE,SpectEW,25,0.7940600978336828,8,9
ConcreteAE,SpectEW,26,0.7863731656184487,9,9
ConcreteAE,SpectEW,27,0.779245283018868,8,9
ConcreteAE,SpectEW,28,0.771488469601677,7,9
ConcreteAE,SpectEW,29,0.752900069881202,7,9
ConcreteAE,TicTacToe,0,0.7536976439790577,6,7
ConcreteAE,TicTacToe,1,0.7766579406631763,6,7
ConcreteAE,TicTacToe,2,0.6534467713787084,6,7
ConcreteAE,TicTacToe,3,0.772431282722513,6,7
ConcreteAE,TicTacToe,4,0.7650796247818499,7,7
ConcreteAE,TicTacToe,5,0.7953697643979057,7,7
ConcreteAE,TicTacToe,6,0.7338241710296683,7,7
ConcreteAE,TicTacToe,7,0.7401014397905759,7,7
ConcreteAE,TicTacToe,8,0.6941426701570681,7,7
ConcreteAE,TicTacToe,9,0.7578643106457242,6,7
ConcreteAE,TicTacToe,10,0.6858256980802792,6,7
ConcreteAE,TicTacToe,11,0.7630617364746947,7,7
ConcreteAE,TicTacToe,12,0.7379472076788831,6,7
ConcreteAE,TicTacToe,13,0.6889016143106457,6,7
ConcreteAE,TicTacToe,14,0.7755780977312392,7,7
ConcreteAE,TicTacToe,15,0.6942026614310646,6,7
ConcreteAE,TicTacToe,16,0.8163230802792322,7,7
ConcreteAE,TicTacToe,17,0.7066808464223386,6,7
